deliverable_id,supplier,category,deliverable,promise_date,actual_delivery_date,days_late,delivery_status,delay_risk,cost_usd,delivery_month,notes
DEL-001,Metro Machining,Machined Parts,Mounting plates,2026-02-24,2026-02-26,2,Late,Medium,3450,2026-02,Synthetic sample data for Power BI portfolio dashboard
DEL-002,Summit Fasteners,Hardware,Bolt kits,2026-02-20,2026-02-21,1,Late,Low,17200,2026-02,Synthetic sample data for Power BI portfolio dashboard
DEL-003,Prairie Packaging,Packaging,Retail cartons,2026-01-16,2026-01-16,0,On Time,Low,3200,2026-01,Synthetic sample data for Power BI portfolio dashboard
DEL-004,Prairie Packaging,Packaging,Retail cartons,2026-03-16,2026-03-16,0,On Time,Low,4950,2026-03,Synthetic sample data for Power BI portfolio dashboard
DEL-005,Prairie Packaging,Packaging,Retail cartons,2026-03-19,2026-03-20,1,Late,Low,2700,2026-03,Synthetic sample data for Power BI portfolio dashboard
DEL-006,Prairie Packaging,Packaging,Retail cartons,2026-03-17,2026-03-22,5,Late,Medium,10450,2026-03,Synthetic sample data for Power BI portfolio dashboard
DEL-007,Lakeside Plastics,Plastic Components,Housing shells,2026-03-15,2026-03-13,-2,Early,Low,10950,2026-03,Synthetic sample data for Power BI portfolio dashboard
DEL-008,Summit Fasteners,Hardware,Screw assortment,2026-01-18,2026-01-19,1,Late,Low,7200,2026-01,Synthetic sample data for Power BI portfolio dashboard
DEL-009,Metro Machining,Machined Parts,Aluminum brackets,2026-03-16,2026-03-18,2,Late,Medium,2950,2026-03,Synthetic sample data for Power BI portfolio dashboard
DEL-010,Summit Fasteners,Hardware,Screw assortment,2026-03-09,2026-03-11,2,Late,Medium,14700,2026-03,Synthetic sample data for Power BI portfolio dashboard
DEL-011,Metro Machining,Machined Parts,Custom metal frames,2026-03-20,2026-03-27,7,Late,High,12700,2026-03,Synthetic sample data for Power BI portfolio dashboard
DEL-012,Metro Machining,Machined Parts,Mounting plates,2026-04-16,2026-04-15,-1,Early,Low,8950,2026-04,Synthetic sample data for Power BI portfolio dashboard
DEL-013,NorthStar Components,Electronics,Power module shipment,2026-03-13,2026-03-14,1,Late,Low,11950,2026-03,Synthetic sample data for Power BI portfolio dashboard
DEL-014,Atlas Sensors,Sensors,Calibration modules,2026-02-10,2026-02-11,1,Late,Low,3450,2026-02,Synthetic sample data for Power BI portfolio dashboard
DEL-015,NorthStar Components,Electronics,Connector kits,2026-01-26,2026-01-29,3,Late,Medium,5950,2026-01,Synthetic sample data for Power BI portfolio dashboard
DEL-016,Lakeside Plastics,Plastic Components,Injection molded trays,2026-01-10,2026-01-20,10,Late,High,3450,2026-01,Synthetic sample data for Power BI portfolio dashboard
